uid;source;target;weight;timestamp
205;MKCOL,/lobcder/dav/testUnbind/bindtest1;MKCOL,/lobcder/dav/testUnbind/bindtest2;8;2014-01-14 14:12:16
206;MKCOL,/lobcder/dav/testUnbind/bindtest2;MKCOL,/lobcder/dav/testUnbind/bindtest2;8;2014-01-14 14:12:16
207;MKCOL,/lobcder/dav/testUnbind/bindtest2;PUT,/lobcder/dav/testUnbind/bindtest1/res1;8;2014-01-14 14:12:16
208;PUT,/lobcder/dav/testUnbind/bindtest1/res1;PUT,/lobcder/dav/testUnbind/bindtest1/res1;8;2014-01-14 14:12:16
209;PUT,/lobcder/dav/testUnbind/bindtest1/res1;DELETE,/lobcder/dav/testUnbind;8;2014-01-14 14:12:17
210;DELETE,/lobcder/dav/testUnbind;DELETE,/lobcder/dav/testUnbind;8;2014-01-14 14:12:17
211;DELETE,/lobcder/dav/testUnbind;DELETE,/lobcder/dav/testResourceId;8;2014-01-14 14:12:17
212;DELETE,/lobcder/dav/testResourceId;PUT,/lobcder/dav/testResourceId/movetest;8;2014-01-14 14:12:17
213;PUT,/lobcder/dav/testResourceId/movetest;PUT,/lobcder/dav/testResourceId/movetest;24;2014-01-14 14:12:17
214;PUT,/lobcder/dav/testResourceId/movetest;MOVE,/lobcder/dav/testResourceId/movetest;8;2014-01-14 14:12:17
215;MOVE,/lobcder/dav/testResourceId/movetest;MOVE,/lobcder/dav/testResourceId/movetest;8;2014-01-14 14:12:17
216;MOVE,/lobcder/dav/testResourceId/movetest;HEAD,/lobcder/dav/testResourceId/movetest2;8;2014-01-14 14:12:17
217;HEAD,/lobcder/dav/testResourceId/movetest2;HEAD,/lobcder/dav/testResourceId/movetest2;8;2014-01-14 14:12:17
218;HEAD,/lobcder/dav/testResourceId/movetest2;HEAD,/lobcder/dav/testResourceId/movetest;8;2014-01-14 14:12:17
219;HEAD,/lobcder/dav/testResourceId/movetest;DELETE,/lobcder/dav/testResourceId/movetest;8;2014-01-14 14:12:17
220;DELETE,/lobcder/dav/testResourceId/movetest;DELETE,/lobcder/dav/testResourceId/movetest;8;2014-01-14 14:12:17
